"CONTEXT", "ID", "TEXT"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Permis d'accès"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Accorde un droit d'accès sur le territoire souverain de l'Arstotzka"
"AccessPermitInner","NAME","NOM"
"AccessPermitInner","NATIONALITY","NATIONALITÉ"
"AccessPermitInner","PURPOSE","MOTIF"
"AccessPermitInner","HEIGHT","TAILLE"
"AccessPermitInner","PHYSICAL APPEARANCE","SIGNE PARTICULIER"
"AccessPermitInner","ID NUMBER","NUMÉRO ID"
"AccessPermitInner","DURATION","DURÉE"
"AccessPermitInner","WEIGHT","POIDS"
"AccessPermitInner","ENTER BY","LIMITE VALIDITÉ"
"AccessPermitInner","Keep on person","À conserver"
"AccessPermitInner","Ministry of Admission","Ministère des Admissions"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","OCTROI D'ASILE"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Accorde le statut conditionnel de réfugié à l'intérieur des frontières de l'Arstotzka"
"AsylumGrantInner","NAT","NAT"
"AsylumGrantInner","ID#","ID"
"AsylumGrantInner","DOB","NAIS"
"AsylumGrantInner","HT","TAI"
"AsylumGrantInner","WT","PDS"
"AsylumGrantInner","Offer expires after","Expiration de l'offre"
"AsylumGrantInner","Ministry of Admission","Ministère des Admissions"
"BizCardInnerFront","ENGINEERING","INGÉNIERIE"
"BizCardInnerFront","Director","Directeur"
"BizCardInnerBack","WE NEED ENGINEERS","RECH. INGÉNIEURS"
"BizCardInnerBack","WILL BEAT .GOV PAY","+ QUE SALAIRE GOUV."
"BizCardInnerBack","CONTACT NOW","CONTACTEZ-NOUS !"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","Un certain <span>Dari Ludum</span> nous a promis un bon travail en Arstotzka, à moi et à ma soeur."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","J'ai peur qu'il prenne nos passeports pour nous forcer à nous prostituer. Il est plus loin dans la file."
"BrothelHelpInner","Please do something.","Je vous en prie, faites quelque chose !"
"BulletinInnerDiploTut","Diplomat","Diplomate"
"BulletinInnerDiploTut","Verification Procedure","Procédure de vérification"
"BulletinInnerDiploTut","Verify issuing country","Vérifier<br>le pays d'émission"
"BulletinInnerDiploTut","Verify identity","Vérifier l'identité"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Vérifier l'accès diplomatique en Arstotzka"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Les documents manquants peuvent être corrélés en sélectionnant le comptoir et l'entrée adéquate du Règlement."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Corrélez l'entrée adéquate du Règlement avec une infraction pour accéder à de nouvelles options."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Corrélez la contrebande ou les armes découvertes avec l'entrée adéquate du Règlement."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Sélectionnez deux informations discordantes en mode INSPECTION pour lancer un interrogatoire."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Touchez et faites glisser pour ajuster votre selection."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Soyez attentif à la nationalité du passeport."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Ministère des Admissions<br>en Arstotzka"
"BulletinInnerBoothTut","Inspector's Booth","Box d'Inspecteur"
"BulletinInnerBoothTut","Shutter","Volet"
"BulletinInnerBoothTut","Counter","Comptoir"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Règlement<br>Transcription<br>Panière à bulletin<br>Heure &amp; date"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Ministère des Admissions<br>en Arstotzka"
"BulletinInnerBoothTut2","Inspector's Booth","Box d'Inspecteur"
"BulletinInnerBoothTut2","Shutter","Volet"
"BulletinInnerBoothTut2","Counter","Comptoir"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Transcription<br>
Règlement<br>
Poids"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Panière à bulletin<br>Heure &amp; date"
"BulletinInnerGunTut","Weapons Protocol","Protocole des armes"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","QUAND L'ALARME RETENTIT"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Utiliser la clé sur la serrure pour déverrouiller l'arme."
"BulletinInnerGunTut","Select gun, aim and fire.","Sélectionner l'arme, viser et tirer."
"BulletinInnerGunTut","Time is short. Act fast.","Le temps vous est compté. Agissez vite."
